,Workload,Algorithm,r,Mean (Std)
379,silesia.tar,DLiSA-0.3,1,22.957 (5.456)
380,uiq-32.bin,FEMOSAA,3,26.672 (8.101)
381,uiq-32.bin,Seed-EA,1,24.428 (7.277)
382,uiq-32.bin,D-SOGA,2,25.789 (7.275)
383,uiq-32.bin,LiDOS,1,25.739 (7.269)
384,uiq-32.bin,DLiSA-0.3,1,20.05 (4.127)
385,uiq2-16.bin,FEMOSAA,1,12.377 (3.785)
386,uiq2-16.bin,Seed-EA,1,12.02 (3.332)
387,uiq2-16.bin,D-SOGA,1,12.05 (3.401)
388,uiq2-16.bin,LiDOS,2,12.583 (3.46)
389,uiq2-16.bin,DLiSA-0.3,1,10.28 (2.502)
390,uiq2-4.bin,FEMOSAA,3,3.413 (0.975)
391,uiq2-4.bin,Seed-EA,1,3.05 (0.855)
392,uiq2-4.bin,D-SOGA,2,3.137 (0.851)
393,uiq2-4.bin,LiDOS,2,3.277 (0.965)
394,uiq2-4.bin,DLiSA-0.3,1,2.604 (0.539)
395,uiq2-8.bin,FEMOSAA,4,7.021 (2.095)
396,uiq2-8.bin,Seed-EA,2,6.027 (1.749)
397,uiq2-8.bin,D-SOGA,3,6.559 (1.843)
398,uiq2-8.bin,LiDOS,2,6.324 (1.844)
399,uiq2-8.bin,DLiSA-0.3,1,5.132 (1.234)
400,vmlinux-5.10.tar,FEMOSAA,3,3.703 (0.998)
401,vmlinux-5.10.tar,Seed-EA,1,3.321 (0.855)
402,vmlinux-5.10.tar,D-SOGA,2,3.448 (0.891)
403,vmlinux-5.10.tar,LiDOS,2,3.584 (0.947)
404,vmlinux-5.10.tar,DLiSA-0.3,1,2.84 (0.573)
405,AUFNIRA_z3.637557.smt2,FEMOSAA,1,5.881 (0.131)
406,AUFNIRA_z3.637557.smt2,Seed-EA,2,5.898 (0.317)
407,AUFNIRA_z3.637557.smt2,D-SOGA,2,5.951 (0.953)
408,AUFNIRA_z3.637557.smt2,LiDOS,3,5.993 (0.628)
409,AUFNIRA_z3.637557.smt2,DLiSA-0.3,1,5.856 (0.011)
410,LRA_formula_277.smt2,FEMOSAA,1,1.77 (0.089)
411,LRA_formula_277.smt2,Seed-EA,4,2.463 (0.668)
412,LRA_formula_277.smt2,D-SOGA,1,2.051 (0.491)
413,LRA_formula_277.smt2,LiDOS,3,2.375 (0.616)
414,LRA_formula_277.smt2,DLiSA-0.3,2,2.254 (0.608)
415,QF_AUFBV_891_sqlite3.smt2,FEMOSAA,2,0.629 (0.999)
416,QF_AUFBV_891_sqlite3.smt2,Seed-EA,2,0.417 (0.802)
417,QF_AUFBV_891_sqlite3.smt2,D-SOGA,1,0.352 (0.611)
418,QF_AUFBV_891_sqlite3.smt2,LiDOS,2,0.429 (0.875)
419,QF_AUFBV_891_sqlite3.smt2,DLiSA-0.3,2,0.364 (0.66)
420,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,FEMOSAA,1,2.375 (0.245)
421,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,Seed-EA,2,2.422 (0.274)
422,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,D-SOGA,3,2.468 (0.428)
423,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,LiDOS,2,2.384 (0.254)
424,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.3,1,2.324 (0.15)
425,QF_BV_bench_3176.smt2,FEMOSAA,2,3.339 (0.655)
426,QF_BV_bench_3176.smt2,Seed-EA,2,3.18 (0.33)
427,QF_BV_bench_3176.smt2,D-SOGA,2,3.172 (0.223)
428,QF_BV_bench_3176.smt2,LiDOS,2,3.195 (0.342)
429,QF_BV_bench_3176.smt2,DLiSA-0.3,1,3.15 (0.111)
430,QF_BV_bench_935.smt2,FEMOSAA,2,1.406 (0.228)
431,QF_BV_bench_935.smt2,Seed-EA,2,1.33 (0.135)
432,QF_BV_bench_935.smt2,D-SOGA,2,1.327 (0.137)
433,QF_BV_bench_935.smt2,LiDOS,2,1.337 (0.158)
434,QF_BV_bench_935.smt2,DLiSA-0.3,1,1.322 (0.13)
435,QF_LIA_tightrhombus,FEMOSAA,1,0.278 (0.212)
436,QF_LIA_tightrhombus,Seed-EA,1,0.32 (0.504)
437,QF_LIA_tightrhombus,D-SOGA,1,0.265 (0.194)
438,QF_LIA_tightrhombus,LiDOS,1,0.269 (0.253)
439,QF_LIA_tightrhombus,DLiSA-0.3,1,0.292 (0.458)
440,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,FEMOSAA,3,8.751 (0.016)
441,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,Seed-EA,3,8.747 (0.015)
442,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,D-SOGA,3,8.806 (0.59)
443,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,LiDOS,1,8.746 (0.005)
444,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.3,2,8.746 (0.005)
